date,kp_avg,kp_max
2019-10-12,1.17,2.0
2019-10-13,0.08,0.667
2019-10-14,1.25,2.0
2019-10-15,0.83,2.333
2019-10-16,1.38,2.0
2019-10-17,1.25,1.667
2019-10-18,1.33,2.0
2019-10-19,1.08,1.667
2019-10-20,1.08,2.333
2019-10-21,1.04,2.667
2019-10-22,0.58,1.333
2019-10-23,0.25,0.667
2019-10-24,2.79,4.333
2019-10-25,3.67,5.333
2019-10-26,3.71,4.667
2019-10-27,2.83,4.0
2019-10-28,2.38,3.333
2019-10-29,1.67,3.0
2019-10-30,1.71,2.333
2019-10-31,1.29,3.667
2019-11-01,0.67,2.333
2019-11-02,0.17,1.0
2019-11-03,0.25,1.0
2019-11-04,0.92,2.0
2019-11-05,1.33,2.0
2019-11-06,1.42,2.667
2019-11-07,0.88,2.0
2019-11-08,0.63,1.0
2019-11-09,0.96,2.333
2019-11-10,0.54,1.333
2019-11-11,1.88,2.667
2019-11-12,0.79,2.333
2019-11-13,0.25,1.333
2019-11-14,0.58,2.0
2019-11-15,0.46,1.333
2019-11-16,1.5,2.333
2019-11-17,0.96,2.667
2019-11-18,0.04,0.333
2019-11-19,0.46,1.333
2019-11-20,0.25,1.0
2019-11-21,2.21,3.667
2019-11-22,2.67,4.0
2019-11-23,2.29,3.0
2019-11-24,2.42,3.333
2019-11-25,1.08,2.0
2019-11-26,0.58,2.0
2019-11-27,1.08,2.0
2019-11-28,0.71,1.667
2019-11-29,1.0,2.667
2019-11-30,0.79,1.333
2019-12-01,0.83,1.667
2019-12-02,0.25,1.0
2019-12-03,0.21,0.333
2019-12-04,0.71,1.667
2019-12-05,0.29,0.667
2019-12-06,0.54,1.0
2019-12-07,0.38,0.667
2019-12-08,0.54,1.333
2019-12-09,0.83,2.667
2019-12-10,0.88,2.0
2019-12-11,1.33,2.667
2019-12-12,0.75,1.667
2019-12-13,0.75,2.0
2019-12-14,0.37,1.333
2019-12-15,1.12,2.333
2019-12-16,0.38,1.0
2019-12-17,0.29,1.0
2019-12-18,2.33,4.0
2019-12-19,2.33,3.667
2019-12-20,1.38,2.333
2019-12-21,1.04,2.333
2019-12-22,0.75,1.667
2019-12-23,0.62,1.333
2019-12-24,0.29,1.333
2019-12-25,0.79,1.667
2019-12-26,0.88,2.333
2019-12-27,0.42,1.0
2019-12-28,0.21,0.667
2019-12-29,0.12,0.667
2019-12-30,0.29,0.667
2019-12-31,0.67,1.333
2020-01-01,0.58,1.333
2020-01-02,0.46,1.0
2020-01-03,1.21,2.667
2020-01-04,1.38,2.333
2020-01-05,1.96,3.333
2020-01-06,1.75,3.333
2020-01-07,1.12,2.0
2020-01-08,1.38,2.667
2020-01-09,2.46,3.667
2020-01-10,1.46,2.333
2020-01-11,1.29,2.333
2020-01-12,0.54,1.667
2020-01-13,0.42,0.667
2020-01-14,0.29,0.667
2020-01-15,0.79,2.0
2020-01-16,1.0,2.333
2020-01-17,0.54,1.333
2020-01-18,0.58,1.667
2020-01-19,0.12,0.667
2020-01-20,0.08,0.333
2020-01-21,1.29,2.667
2020-01-22,1.46,3.0
2020-01-23,0.87,2.333
2020-01-24,0.29,1.0
2020-01-25,0.5,2.333
2020-01-26,0.67,1.667
2020-01-27,0.33,1.0
2020-01-28,0.96,3.0
2020-01-29,1.88,3.333
2020-01-30,2.54,3.333
2020-01-31,1.58,3.667
2020-02-01,1.38,2.333
2020-02-02,1.37,2.333
2020-02-03,0.87,2.0
2020-02-04,1.42,2.667
2020-02-05,1.12,2.0
2020-02-06,2.79,4.0
